S.No,Comments,Label,
HATE_3451,Pora howle gah ekkkada nunchi mingey,hate,
HATE_3452,అన్న కరెక్ట్ చెప్పినవ్ మొన్న యూపీ ఎలక్షన్లో నీవు వచ్చింది మమ్మల్ని హెల్ప్ చేసినావ్ ఇప్పుడు మేము తెలంగాణకు వచ్చి నీకు హెల్ప్ చేస్తాం బిజెపి ఎంఐఎం రెండు ఒకటే అన్నా చాలా కరెక్ట్ చెప్తున్నావ్ అన్న సూపర్ అన్న థాంక్స్,non-hate,
HATE_3453,Thanq shankaranna praveen anna ki screen ichinanduku happy to see you both,non-hate,
HATE_3454,TRS entha istha annadu ra niku nv em samsarivi kavu ra Praveen..,hate,
HATE_3455,Mimmalni  ekkado chusi nattunde,non-hate,
HATE_3456,Are pichi sulli gah   entha tiskunavra trs daggara,hate,
HATE_3457,Ivi news  antara asalu,non-hate,
HATE_3458,Shankar nuv kalsi e chanel ni nadipiyunri manchiguntadi,non-hate,
HATE_3459,Rey apara nee thelivithakkuva matalu,non-hate,
HATE_3460,Nuve pedda joker vi malli...anna ni antunnaru,non-hate,
HATE_3461,Trs ku support cheste nuvve,non-hate,
HATE_3462,NA MODDALA mallanna,hate,
HATE_3463,Anna super bro,non-hate,
HATE_3464,Correct bro vadu  langa road meedha ammukuntaru,hate,
HATE_3465,"Fake news
News line",non-hate,
HATE_3466,Neevu great anna...super,non-hate,
HATE_3467,Nuvu trs nu adugura nuvo 90 ml ga mallanna kali gotiki sari povura nuvu ne batuku tho,non-hate,
HATE_3468,Edu oka suligadu Jai mallanna,hate,
HATE_3469,Kcr bsp valu enni eastunaru month ki Nek,non-hate,
HATE_3470,Jai teenmar mallanna,non-hate,
HATE_3471,Nivu kcr tho thov ra chilka,non-hate,
HATE_3472,Sanjay annani ante niku paguludhu hayi…,non-hate,
HATE_3473,Dhesaanni ammesevaadu yevadiki hero? Meekaa? ,non-hate,
HATE_3474,Jai congress jai congress win pakka jai reavtha Redd,non-hate,
HATE_3475,"తెలంగాణ వచ్చాక , పేదల బ్రతుకులు మారుతాయనుకుంటే ,MLA జీవితాలు మారాయి ,ప్రతి MLA కి వందల ఎకరాల భూములు అందులో FARM హౌస్ లు.",non-hate,
HATE_3476,reventh reddy dhi gadidha moddavadu waste,hate,
HATE_3477,bandi sanjay gadu amit shah kukka vadu poyi vadi kaalu nakutaru,hate,
HATE_3478,kcr dhi barrey karrey mukku vadu waste pm ki,hate,
HATE_3479,bjp kuda terrosit ey vadu lanja panulu evvaru cheyale,hate,
HATE_3480,putin valla motham lokham lo inflation periginglu vadu cheshina langa paniki memu suffer avvuthunam,hate,
HATE_3481,ni pellam puku denugutha  ma anna annavu ante,hate,
HATE_3482,oka ammai vi ayundhi illu clean chesthunavu ani complain chesthava siggu techuko,hate,
HATE_3483,kajal oka bitch  naku modda dani notlo pettali anni vundhi,hate,
HATE_3484,ee kalam ammailu ki dabbuli vunte chaalu anukuntaru,non-hate,
HATE_3485,oka ammai vi vundhi natho argue chesthava puku mosukoni inti panulu cheyi,hate,
HATE_3486,samantha oka trigubothu lanja chai lanti mogudu vadilesindhi,hate,
HATE_3487,jai kodali nani meru oka dynamic leader,non-hate,
HATE_3488,nen pedda payalu vunna ammailinu dengi bore kotudhundhi #iamcomingforskinnygirls,hate,
HATE_3489,desanaki oka nehru oka vallabahi patel vundali kani manaki oka shah inka modi lanti vallu dorikaru,hate,
HATE_3490,pichi puku  kukka na meddha nunchi leyi,non-hate,
HATE_3491,Ee video chusintarvatha mee meeda respect perigindi,non-hate,
HATE_3492,Ee ammai chala bagundhi.pade pade chudaalinipistundhi,non-hate,
HATE_3493,Good అండి గీత కృష్ణ గారూ మంచి. ఇంటర్వ్యు,non-hate,
HATE_3494,ఏ హీరోని ఏ దర్శకున్ని  రెమ్యూనిరేషన్ తగ్గించుకుని అడగకూడదు ప్రజలు గుడిసి పోవాలా అంతేగా,hate,
HATE_3495,"Tickets rates thagginchaali..appudey janaalu theatre ki vastaaru.. Budget peruguthondhantey dhaanikkaranam producers e... Heroes budget, north Indian heroines, valla staff ni mepaali ivvanni thadisi mopodavuthunnayi",hate,
HATE_3496,Hero lu remuneration taggisthe dil raju rates penchi collections motham mingesthadanta….funny fellow,hate,
HATE_3497,DEAL VIDEO thesi pettu.  chetha news.,non-hate,
HATE_3498,BJP ni lepindi KCR and TRS. Ippudu BJP ante ento TRS ki ardam aindi BJP ki chance isthe TRS ne mingesthundi ani,non-hate,
HATE_3499,Twitter tillu gabi banisa,non-hate,
HATE_3500,ktr valla hyderabad baga devalop ayindhi jai ktr,non-hate,
HATE_3501,తమ్ముడు నువ్వు సూపర్ నిజాన్ని ఈలాగే నిర్బయంగా చెప్పు ఎవ్వనికి భయపడకు,non-hate,
HATE_3502,"నిజాయితీ గా చెప్పావ్ అన్న, జరిగింది జరిగినట్టుగా",non-hate,
HATE_3503,"Telugu prajalu badhalu tirchedi one and only mahesh babu garu, thankyou for your guts,.",non-hate,
HATE_3504,నిమాటలు కడుపుకి అనం తినేవాడు ఎవరు నమరు జై హర్ష జై హర్ష హర్ష,hate,
HATE_3505,It's not about giving money It's about giving satisfaction to viewers and spreading humanity,hate,
HATE_3506,Bro neku rip date daggaraku vachesindhi,hate,
HATE_3507,Logically what u said is exactly right.. Appreciated the way you explained the concepts of government and other way of ruling.. Good.. Keep it up dear..,non-hate,
HATE_3508,Anna నువ్వు దానం చెయ్యకపోతే చెయ్యకు దానం చేసే వారిని చడాకొట్టకు,hate,
HATE_3509,తాను ఇంతకు ముందే చెప్పాడు నేను ఇలా videos చేయడానికి కారణం అందరూ inspire అవ్వాలి అని,non-hate,
HATE_3510,Arey nee antha chetha nakodukuni chudaledh ra ippativaraku,hate,
HATE_3511,Babhu నువ్వు movie rilease కాకుండా చెప్పే అబద్ధం కన్నా అతను చేసే సాయం గొప్పది. Nuv పెద్ద prad,hate,
HATE_3512,your flow and bgm super bro chinchesav,non-hate,
HATE_3513,prathi chillara gadu harsha-sai gurinchi matladame help chesina tappu ye ra babu meku,hate,
HATE_3514,"Anna I want to say one thing.u say mind-blowing truths love u brother .keep it up, I really proud of you bro .",non-hate,
HATE_3515,Nuv annantha mathrana Harsha Sai midha abimanam thaggadu ra,hate,
HATE_3516,bro moto vlogging lo andhari kanna nuvve ishtam naku,non-hate,
HATE_3517,ee tata nexon antha lavda car nenu ekkada chudaledh ra,hate,
HATE_3518,Sir last time kohli newzealand T20 series lo oka runout alany chesadu .. mind-blowing runout sir adhi,non-hate,
HATE_3519,kl rahul is the biggest fraud in indian cricket,hate,
HATE_3520,I feel like bhuvaneshwarkumar must be dropped from the upcoming matches because he is going for lot of runs in death overs,hate,
HATE_3521,prathi chethanakoduku viratkohli ni anetode lavdapuk gallu,hate,
HATE_3522,మీరు చెప్పింది నిజం తాను అలానే అనుకొని ఉంటాడు బాల్ నాకు ఇస్తే నేను కోటేవడిని అని అనుకున్నాడు.కింగ్ అన్ని రుల్స్ మొత్తం తెలుసు అక్కడ,non-hate,
HATE_3523,special respect for Indian cricket thanks for ( international board of Australia),non-hate,
HATE_3524,అన్నా చాలా ఇంప్రూవ్ అయ్యావ్.... సూపర్,non-hate,
HATE_3525,ఆవిడ మంత్రి అయ్యాక పిచ్చి ముదిరి ఎక్స్ట్రా జబర్దస్త్ అరుపులు అరుస్తుంది. పట్టించుకోవద్దు.,hate,
HATE_3526,రోజా అనేది మనిషి కాదు అది వేస్ట్,hate,
HATE_3527,Lokesh anna nuv super anna I am proud of to see you like this way of speech jai lokesh,non-hate,
HATE_3528,అన్నయ్య మనం రోడ్డుపై వెల్తుంటే కుక్క లు మెరుగు తుంది,hate,
HATE_3529,Roja Neku dammu unta ys Jagan ki cheers pompu Yanduku anta ys vijayamma ni vishaka mp seat Gelupuichuko Lani dadamma nevu,hate,
HATE_3530,లోకేష్ అన్న ఇప్పుడు ఇస్మార్ట్ శంకర్ లా తయారు అయ్యాడు పంచ్ ల మీద పంచ్ లు,non-hate,
HATE_3531,Annaaa telugu communication baanee improve cheshav,non-hate,
HATE_3532,Roja niku minister ichindhi ha shaka ki nayam cheystav ani. Cheera lu pampala miku antey anam garu cutdrawer lu pampala annadu saripoyindha. Power unnantha varaku baganey untundhi.,hate,
HATE_3533,rechipothunnaru adhikaram lo unnaru ani ahamkara dhorani,hate,
HATE_3534,"Don't worry Lokesh garu. if Government could not do it, Madam will hang them with in 21 days. Jabardast challenge. count down starts. They will be hanged under Disa act at any cost.",non-hate,
HATE_3535,"Prathi daniki Government tappu vundadu prajalu koncham marali, attitude change ayithey ilanti jaragavu",non-hate,
HATE_3536,పేదవాడు కి  జగన్ గారు  ఎ మంచి  పని చేస్తున్న  దానికి  కోర్టులో  కేసులు పెట్టి  న.  బొల్లి గాడు కీ  ఓటు ఎవరు వెయరు,hate,
HATE_3537,నీతి నిజాయితీ లకు మారు పేరుగా నిలిచిన వ్యక్తి ఆళ్ళ రామకృష్ణారెడ్డి. అమరావతి రైతులకోసం నిజమైన పోరాటం చేసిన వ్యక్తి. ఆయన పదికాలాలపాటు చల్లగా ఉండాలి.,non-hate,
HATE_3538,రామకృష్ణ  గారు బాదపడకండి  జగన్ గారు  మీకు మంచి భవిష్యత్తు ఉంటుంది,non-hate,
HATE_3539,"పార్టీ నుండి జంప్ కావాలంటే, ఎవర్నో ఒకరిని తిట్టాలే స్వార్థం కోసం పార్టీ మారాలి....",hate,
HATE_3540,Central lo vuntene addukku tintunam eka stete lo vaste anthe enga...,hate,
HATE_3541,Entha mandhi bjp lo join aina kuda bjp TS govt form cheyyaledhu..,hate,
HATE_3542,ఒక బీజేపీ కార్యకర్త 100 మంది ఇతర పార్టీ కార్యకర్తలతో సమానం జై జై కోమటిరెడ్డి బ్రదర్స్ జై మోడీ,non-hate,
HATE_3543,BJP Sanka naku teenmar vartalu,hate,
HATE_3544,V6 ఛానల్ అంటే ఇంతకుముందు చాలా గౌరవం గా ఉండేది ఇప్పుడు బిజెపి డబ్బా కొడుతున్న ఛానల్ ఈ ఛానల్ వివేక్ ఛానల్ సేమ్,hate,
HATE_3545,నాగార్జున ఎట్టి పరిస్థితుల్లో వైసీపీ లోకి రాకపోవచ్చు ఎందుకంటే జగన్ 420 అని తెల్సు ఒకవేళ వస్తే ఇంత కన్నా మూర్ఖుడు ఎవరు ఉండరు,hate,
HATE_3546,వీడు ప్రసారానికి వెళ్ళ డాంటే ఆడవాళ్ళు కూడా చెప్పులు తీసి కొడతారు,hate,
HATE_3547,Ade matani dukuduga cheppandi. Siva garu kanabadatharu maku. Voice belaga vundi.,non-hate,
HATE_3548,Desaani dochokotaaniki eeyanaki emi takkuvayindita,hate,
HATE_3549,Mundu.vacchinollu.peekipoyaru.eeyanocchi.peekuthadu,hate,
HATE_3550,"Nagarjuna vadi nasanam vadu korukuntada vadu KD no 1, anta eegiga padadu",hate,
HATE_3551,Vadoka lucha gadu vadiki jagan party ne correct,hate,
HATE_3552,vadi antha chetha lovda cm ni nenu intha varaku chudaledhu bhayya,hate,
HATE_3553,From recent 3 months iam addicted to your videos anna. Your way of explaining and slang is very nice,non-hate,
HATE_3554,Match chudaniki vasthunam ani cheppu bro,non-hate,
HATE_3555,oka pani cheddham vada pav ane brand ni relaunch cheddham,non-hate,
HATE_3556,match gadida modda ayindhi .,hate,
HATE_3557,rohith bondam gadu ballu anni dengesadu vadi valle match poyindhi,hate,
HATE_3558,musali gudda ashwin ni endhuku endhuku teaukunnaru bro kastha chepppandi,hate,
HATE_3559,asla kl rahul peddha bogh na koduku adatham radhu em radhu,hate,
HATE_3560,Rahul dravid vadi moddalo selection  asla chahal hi endhuku tesukole,hate,
HATE_3561,trs kadhu brs rey paayi cheyi munugode polls lo,hate,
HATE_3562,మన  తెలంగాణాలో మన నాయకుల బాషా చాలా chiller gah vuntadhi.అయ్యో దేవుడా.,hate,
HATE_3563,jairam ganesh rahul gandhi sanka nakutadhu howla gadhu,hate,
HATE_3564,mallikarjun kharge  gandhi family kukka vallu emi chepthe adhi songa karchukoni oppukuntaru,hate,
HATE_3565,నేను సచ్చిపోత బాబోయ్..ఉరి ఏది..విషం ఏది..నా రైలు ఏది..నా కత్తి ఏది,hate,
HATE_3566,ఏ మాత్రం సంస్కారం లేని నాయకులు ఎన్నుకున్నందుకు మనము మనము సిగ్గుపడాలి,hate,
